288100ACS	1-ethyl-nicotinic acid	1--ethyl-nicotinic acid 37.5mg
450600BIS	potassium chloride	potassium chloride 745mg/5ℓ
450700BIS	potassium chloride	potassium chloride 1.49g/5ℓ
323100BIS	potassium chloride	potassium chloride 104g/20ℓ
323600BIS	potassium chloride	potassium chloride 104.4g/20ℓ
323900BIS	potassium chloride	potassium chloride 135.8g/20ℓ
355000CIS	potassium chloride	potassium chloride 150mg
355100CIS	potassium chloride	potassium chloride 187.5mg
355200CIS	potassium chloride	potassium chloride 375mg
215901ATR	potassium citrate	potassium citrate 540mg
450800APD	potassium citrate	potassium citrate 68.97mg
467600ATB	potassium clavulanate	potassium clavulanate 15.625mg
467200ATB	potassium clavulanate	potassium clavulanate 25mg
467300ATB	potassium clavulanate	potassium clavulanate 31.25mg
467400ATB	potassium clavulanate	potassium clavulanate 50mg
310600ATB	potassium clavulanate	potassium clavulanate 125mg
467600ATB	potassium clavulanate	potassium clavulanate 15.625mg
467200ATB	potassium clavulanate	potassium clavulanate 25mg
467300ATB	potassium clavulanate	potassium clavulanate 31.25mg
467400ATB	potassium clavulanate	potassium clavulanate 50mg
310600ATB	potassium clavulanate	potassium clavulanate 125mg
310400ASY	potassium clavulanate	potassium clavulanate 6.25mg
358500ASY	potassium clavulanate	potassium clavulanate 5.7mg
310500ATB	potassium clavulanate	potassium clavulanate 62.5mg
310600ATB	potassium clavulanate	potassium clavulanate 125mg
310700ATB	potassium clavulanate	potassium clavulanate 125mg
440100ATB	potassium clavulanate	potassium clavulanate 125mg
328900BIJ	potassium clavulanate	potassium clavulanate 100mg
329000BIJ	potassium clavulanate	potassium clavulanate 200mg
329700BIJ	potassium clavulanate	potassium clavulanate 100mg
329800BIJ	potassium clavulanate	potassium clavulanate 200mg
317500BIJ	potassium dihydrogen phosphate	potassium dihydrogen phosphate 3120mg
455000BIJ	potassium dihydrogen phosphate	potassium dihydrogen phosphate 6240mg
317600BIJ	potassium dihydrogen phosphate	potassium dihydrogen phosphate 1090mg
317700BIJ	potassium dihydrogen phosphate	potassium dihydrogen phosphate 780mg
455100BIJ	potassium dihydrogen phosphate	potassium dihydrogen phosphate 1560mg
454900BIJ	potassium dihydrogen phosphate	potassium dihydrogen phosphate 2180mg
269000AGN	potassium guaiacolsulfonate	potassium guaiacolsulfonate 90mg
428900BIJ	potassium phosphate	potassium phosphate 5.22g
216001BIJ	potassium phosphate monobasic	potassium phosphate monobasic 136.1mg/20ml
216004BIJ	potassium phosphate monobasic	potassium phosphate monobasic 680.5mg/100ml
216103COS	povidone	povidone 25mg
216104COS	povidone	povidone 40mg
216101COS	povidone	povidone 20mg
216205CLQ	povidone iodide	povidone iodide 7.5mg
216207CLQ	povidone iodide	povidone iodide 100mg
216201CLQ	povidone iodide	povidone iodide 100mg
287800AGN	powdered cinnamon bark	powdered cinnamon bark 173.3mg
363401BIJ	pralidoxime chloride	pralidoxime chloride 500mg
363402BIJ	pralidoxime chloride	pralidoxime chloride 1g
392401CCM	pramoxine HCl	pramoxine HCl 10mg
216503ASY	pranoprofen	pranoprofen 7.5mg
216503ASY	pranoprofen	pranoprofen 7.5mg
216503ASY	pranoprofen	pranoprofen 7.5mg
216501ASY	pranoprofen	pranoprofen 15mg
216502COS	pranoprofen	pranoprofen 1mg
216601ATB	pravastatin sodium	pravastatin sodium 10mg
216602ATB	pravastatin sodium	pravastatin sodium 5mg
216601ATB	pravastatin sodium	pravastatin sodium 10mg
216601ATB	pravastatin sodium	pravastatin sodium 10mg
216803ATB	prazosin HCl	prazosin HCl 5mg
216901CCM	prednicarbate	prednicarbate 2.5mg
216901COM	prednicarbate	prednicarbate 2.5mg
217004ASY	prednisolone	prednisolone 3mg
217002CLQ	prednisolone	prednisolone 2.5mg
217103COS	prednisolone acetate	prednisolone acetate 10mg
381600COS	prednisolone acetate	prednisolone acetate 10mg
217104BIJ	prednisolone acetate	prednisolone acetate 100mg
217302BIJ	prednisolone sodium succinate	prednisolone sodium succinate 250mg
217301BIJ	prednisolone sodium succinate	prednisolone sodium succinate 1g
217501CCM	prednisolone valerate	prednisolone valerate 3mg
217601ATB	pridinol mesylate	pridinol mesylate 2mg
217602ATB	pridinol mesylate	pridinol mesylate 4mg
217601BIJ	pridinol mesylate	pridinol mesylate 2mg
217701ATB	primaquine phosphate	primaquine phosphate 26.3mg
218303ASY	procaterol HCl	procaterol HCl 5㎍
455201CSP	prochlorperazine	prochlorperazine 25mg
448501ATB	prochlorperazine maleate	prochlorperazine maleate 5mg
219201ATB	pronase	pronase 133mg
361600CLQ	propanol	propanol 0.3g
219601COS	proparacaine HCl	proparacaine HCl 5mg
219701ATB	propiverine HCl	propiverine HCl 10mg
219803BIJ	propofol	propofol 200mg
219804BIJ	propofol	propofol 500mg
219903ATB	propranolol HCl	propranolol HCl 20mg
219902BIJ	propranolol HCl	propranolol HCl 1mg
220301BIJ	protamine sulfate	protamine sulfate 50mg
220603BIJ	protirelin tartrate	protirelin tartrate 0.5mg
220603BIJ	protirelin tartrate	protirelin tartrate 0.5mg
220601BIJ	protirelin tartrate	protirelin tartrate 1mg
220602BIJ	protirelin tartrate	protirelin tartrate 2mg
315600BIJ	proxyphylline	proxyphylline 240mg
363900ASY	pseudoephedrin HCl	pseudoephedrin HCl 2mg
456200ACS	pseudoephedrine HCl	pseudoephedrine HCl 30mg
451100ATB	pseudoephedrine HCl	pseudoephedrine HCl 30mg
433000ATB	pseudoephedrine HCl	pseudoephedrine HCl 30mg
433100ATB	pseudoephedrine HCl	pseudoephedrine HCl 30mg
259500ACH	pseudoephedrine HCl	pseudoephedrine HCl 60mg
221003APD	psyllium husk	psyllium husk 3g
221004APD	psyllium husk	psyllium husk 3.5g
221402BIJ	pyridostigmine bromide	pyridostigmine bromide 5mg
254400ACH	pyridoxine HCl	pyridoxine HCl 50mg
403000ATB	pyridoxine HCl	pyridoxine HCl 8.3mg
301600ATB	pyridoxine HCl	pyridoxine HCl 10mg
303600ATB	pyridoxine HCl	pyridoxine HCl 5mg
327100BIJ	pyridoxine HCl	pyridoxine HCl 25mg
311900ATB	pyridoxine HCl	pyridoxine HCl 13mg
312100ATB	pyrimethamine	pyrimethamine 25mg
221801ACH	quercus stenophylla ext.	quercus stenophylla ext. 225mg
222002ATB	quinidine sulfate	quinidine sulfate 300mg
364001CSI	racepinephrine	racepinephrine 337.5mg
222401ACH	ramipril	ramipril 2.5mg
271800ATB	ranitidine HCl	ranitidine HCl 84mg
222805ATB	ranitidine HCl	ranitidine HCl 75mg
222801ATB	ranitidine HCl	ranitidine HCl 150mg
222803ATB	ranitidine HCl	ranitidine HCl 300mg
222805ALQ	ranitidine HCl	ranitidine HCl 75mg
222801ATB	ranitidine HCl	ranitidine HCl 150mg
222803ATB	ranitidine HCl	ranitidine HCl 300mg
271800ATB	ranitidine HCl	ranitidine HCl 84mg
222806BIJ	ranitidine HCl	ranitidine HCl 25mg
222804BIJ	ranitidine HCl	ranitidine HCl 50mg
271800ATB	ranitidine HCl	ranitidine HCl 84mg
222802BIJ	ranitidine HCl	ranitidine HCl 100mg
447300BIJ	ranitidine HCl	ranitidine HCl 50mg
263900ATB	raubasine	raubasine 4.8mg
315400BIJ	raubasine	raubasine 6.25mg
222901ATB	rebamipide	rebamipide 100mg
222901ATB	rebamipide	rebamipide 100mg
222901ATB	rebamipide	rebamipide 100mg
269400ATB	redistilled turpentine oil oxidation products	redistilled turpentine oil oxidation products 20mg
223101ATB	reserpine	reserpine 250㎍
263000ATB	reserpine	reserpine 100㎍
223102BIJ	reserpine	reserpine 1mg
446301BIJ	reviparin sodium	reviparin sodium 13.56mg
446302BIJ	reviparin sodium	reviparin sodium 27.12mg
446303BIJ	reviparin sodium	reviparin sodium 32.54mg
446304BIJ	reviparin sodium	reviparin sodium 48.82mg
223602CCM	ribavirin	ribavirin 30mg
223601ACH	ribavirin	ribavirin 100mg
403000ATB	riboflavin	riboflavin 4mg
301600ATB	riboflavin	riboflavin 1.7mg
223701ATB	riboflavin tetrabutyrate	riboflavin tetrabutyrate 20mg
223802BIJ	ribostamycin sulfate	ribostamycin sulfate 500mg
223801BIJ	ribostamycin sulfate	ribostamycin sulfate 1g
224201ATB	risperidone	risperidone 1mg
224202ALQ	risperidone	risperidone 2mg
224203ATB	risperidone	risperidone 3mg
224303ACR	ritodrine HCl	ritodrine HCl 40mg
224302BIJ	ritodrine HCl	ritodrine HCl 50mg
224502ALQ	rivastigmine	rivastigmine 2mg
446601ATD	rizatriptan benzoate	rizatriptan benzoate 14.53mg
224601ATB	rociverine citrate	rociverine citrate 15.658mg
224602BIJ	rociverine citrate	rociverine citrate 31.316mg
224801ATB	rokitamycin	rokitamycin 100mg
488800ATB	rosiglitazone maleate	rosiglitazone maleate 4mg
488900ATB	rosiglitazone maleate	rosiglitazone maleate 4mg
489000ATB	rosiglitazone maleate	rosiglitazone maleate 4mg
225201ACR	roxatidine acetate HCl	roxatidine acetate HCl 75mg
225302AGN	roxithromycin	roxithromycin 50mg
225302ATB	roxithromycin	roxithromycin 50mg
225301ATB	roxithromycin	roxithromycin 150mg
483201ATB	S-amlodipine besylate	S-amlodipine besylate 3.74mg
396200ATB	s-carboxy methyl cysteine	s-carboxy methyl cysteine 62.5mg
396300ATB	s-carboxy methyl cysteine	s-carboxy methyl cysteine 125mg
225403APD	saccharomyces cerevisiae hansen CBS-5926	saccharomyces cerevisiae hansen CBS-5926 56.5mg
225402APD	saccharomyces cerevisiae hansen CBS-5926	saccharomyces cerevisiae hansen CBS-5926 282.5mg
225505ASY	salbutamol sulfate	salbutamol sulfate 480㎍
225504CSI	salbutamol sulfate	salbutamol sulfate 20mg
225502CSI	salbutamol sulfate	salbutamol sulfate 20mg
401800CSI	salbutamol sulfate	salbutamol sulfate 3.01mg
225703BIJ	salcatonin	salcatonin 50I.U
225701BIJ	salcatonin	salcatonin 100I.U
225708CSI	salcatonin	salcatonin 700I.U
225709CSI	salcatonin	salcatonin 770I.U
225702CSI	salcatonin	salcatonin 1100I.U
225704CSI	salcatonin	salcatonin 1400I.U
226102ATB	sarpogrelate HCl	sarpogrelate HCl 50mg
226201APD	scopolia ext	scopolia ext 100mg
291200ACH	scopolia ext.	scopolia ext. 7.5mg
287800AGN	scopolia extract powder	scopolia extract powder 30mg
402601ACH	secobarbital sodium	secobarbital sodium 100mg
226401ATB	selegiline HCl	selegiline HCl 5mg
226401ATB	selegiline HCl	selegiline HCl 5mg
379101ATB	sennae fructus ext.	sennae fructus ext. 75mg
226701ACH	serenoa repens lipidosterolic ext.	serenoa repens lipidosterolic ext. 160mg
226702ACS	serenoa repens lipidosterolic ext.	serenoa repens lipidosterolic ext. 320mg
226802ATB	serratiopeptidase	serratiopeptidase 5mg
226801AGN	serratiopeptidase	serratiopeptidase 10mg
226801ATB	serratiopeptidase	serratiopeptidase 10mg
227102BIJ	"serum albumin, human"	"serum albumin, human 5g/100ml"
227103BIJ	"serum albumin, human"	"serum albumin, human 12.5g/250ml"
227101BIJ	"serum albumin, human"	"serum albumin, human 10g/50ml"
227104BIJ	"serum albumin, human"	"serum albumin, human 20g/100ml"
227201ATB	setiptilin maleate	setiptilin maleate 1mg
227301CLQ	sevoflurane	sevoflurane 1ml
227401CCM	silver sulfadiazine	silver sulfadiazine 10mg
227401COM	silver sulfadiazine	silver sulfadiazine 10mg
294400ACH	simethicone	simethicone 200mg
294400ATB	simethicone	simethicone 200mg
295800ATB	simethicone	simethicone 14mg
295600ACS	simethicone	simethicone 300mg
227701ASS	simethicone	simethicone 20mg
227902BIJ	sisomicin sulfate	sisomicin sulfate 50mg
227903BIJ	sisomicin sulfate	sisomicin sulfate 75mg
227901BIJ	sisomicin sulfate	sisomicin sulfate 100mg
228203ASY	sobrerol	sobrerol 8mg
228201ACH	sobrerol	sobrerol 100mg
317500BIJ	sodium acetate	sodium acetate 1560mg
455000BIJ	sodium acetate	sodium acetate 3120mg
317600BIJ	sodium acetate	sodium acetate 1560mg
317700BIJ	sodium acetate	sodium acetate 1560mg
455100BIJ	sodium acetate	sodium acetate 3120mg
428900BIJ	sodium acetate	sodium acetate 3H2O 6.8g
454900BIJ	sodium acetate	sodium acetate 3120mg
320000BIJ	sodium acetate	sodium acetate 184g/500ml
349000BIJ	sodium acetate	sodium acetate 368g/1ℓ
321000BIJ	sodium acetate	sodium acetate 4.015g/20ml
362700BIJ	sodium acetate	sodium acetate 4.015g/30ml
322600BIS	sodium acetate	sodium acetate 143g/5ℓ
373600BIS	sodium acetate	sodium acetate 1740g/10ℓ
323100BIS	sodium acetate	sodium acetate 3340g/20ℓ
323600BIS	sodium acetate	sodium acetate 3340g/20ℓ
323900BIS	sodium acetate	sodium acetate 3480g/20ℓ
355000CIS	sodium acetate	sodium acetate 780mg
355100CIS	sodium acetate	sodium acetate 975mg
355200CIS	sodium acetate	sodium acetate 1.95g
400700BIS	sodium acetate anhydrous	sodium acetate anhydrous 86g/5ℓ
228303ATB	sodium alendronate	sodium alendronate 70mg
228401BIJ	sodium aurothiomalate	sodium aurothiomalate 25mg
228502BIJ	sodium bicarbonate	sodium bicarbonate 1.68g/20ml
228505BIS	sodium bicarbonate	sodium bicarbonate 441g/6.3ℓ
228509BIS	sodium bicarbonate	sodium bicarbonate 700g/10ℓ
228508BIS	sodium bicarbonate	sodium bicarbonate 840g/10ℓ
450900BIS	sodium bicarbonate	sodium bicarbonate 0.525g
464200BIS	sodium bicarbonate	sodium bicarbonate 0.63g
464100BIS	sodium bicarbonate	sodium bicarbonate 0.525g
463800BIS	sodium bicarbonate	sodium bicarbonate 0.525g
464400BIS	sodium bicarbonate	sodium bicarbonate 0.63g
464300BIS	sodium bicarbonate	sodium bicarbonate 0.63g
228502BIJ	sodium bicarbonate	sodium bicarbonate 1.68g/20ml
313500BIJ	sodium carbonate	sodium carbonate 30mg
228602COS	sodium carboxymethyl cellulose	sodium carboxymethyl cellulose 2mg
228603COS	sodium carboxymethyl cellulose	sodium carboxymethyl cellulose 3mg
228604COS	sodium carboxymethyl cellulose	sodium carboxymethyl cellulose 4mg
317600BIJ	sodium chioride	sodium chioride 1230mg
317700BIJ	sodium chioride	sodium chioride 169.98mg
455100BIJ	sodium chioride	sodium chioride 340mg
454900BIJ	sodium chioride	sodium chioride 1360mg
228723COS	sodium chloride	sodium chloride 20mg
228724COO	sodium chloride	sodium chloride 50mg
228724COS	sodium chloride	sodium chloride 50mg
447300BIJ	sodium chloride	sodium chloride 225mg
428900BIJ	sodium chloride	sodium chloride 1.17g
228710BIJ	sodium chloride	sodium chloride 450mg/50ml
228711BIJ	sodium chloride	sodium chloride 900mg/100ml
228712BIJ	sodium chloride	sodium chloride 1350mg/150ml
228707BIJ	sodium chloride	sodium chloride 2.25g/500ml
228703BIJ	sodium chloride	sodium chloride 2.34g/20ml
228713BIJ	sodium chloride	sodium chloride 4.5g/500ml
228714BIJ	sodium chloride	sodium chloride 9g/1ℓ
318700BIJ	sodium chloride	sodium chloride 4.5g/500ml
318900BIJ	sodium chloride	sodium chloride 2.25g/500ml
377000BIJ	sodium chloride	sodium chloride 2.25g/250ml
319200BIJ	sodium chloride	sodium chloride 4.5g/500ml
376900BIJ	sodium chloride	sodium chloride 9g/1000ml
319300BIJ	sodium chloride	sodium chloride 4.5g/500ml
319600BIJ	sodium chloride	sodium chloride 4.5g/1ℓ
319900BIJ	sodium chloride	sodium chloride 3g/500ml
414700BIJ	sodium chloride	sodium chloride 6g/1ℓ
320000BIJ	sodium chloride	sodium chloride 263g/500ml
349000BIJ	sodium chloride	sodium chloride 526g/1ℓ
450800APD	sodium chloride	sodium chloride 65.45mg
349100BIJ	sodium chloride	sodium chloride 3g/1ℓ
349200BIJ	sodium chloride	sodium chloride 2.25g/1ℓ
349300BIJ	sodium chloride	sodium chloride 1.8g/1ℓ
348900BIJ	sodium chloride	sodium chloride 3g/1ℓ
321000BIJ	sodium chloride	sodium chloride 321mg/20ml
362700BIJ	sodium chloride	sodium chloride 321mg/30ml
400000BIJ	sodium chloride	sodium chloride 1465mg/500ml
449500BIS	sodium chloride	sodium chloride 2.105g/500ml
321100BIS	sodium chloride	sodium chloride 2107g/10ℓ
321200BIS	sodium chloride	sodium chloride 2107g/10ℓ
321300BIS	sodium chloride	sodium chloride 2107g/10ℓ
449400BIS	sodium chloride	sodium chloride 2.105g/500ml
321600BIS	sodium chloride	sodium chloride 10.76g/2ℓ
450500BIS	sodium chloride	sodium chloride 32.15g/5ℓ
322600BIS	sodium chloride	sodium chloride 1012.5g/5ℓ
322900BIS	sodium chloride	sodium chloride 2107g/10ℓ
366600BIS	sodium chloride	sodium chloride 10.76g/2ℓ
366600BIS	sodium chloride	sodium chloride 10.76g/2ℓ
359800BIS	sodium chloride	sodium chloride 29.8g/5ℓ
359900BIS	sodium chloride	sodium chloride 29.22g/5ℓ
380900BIS	sodium chloride	sodium chloride 26.9g/5l
380900BIS	sodium chloride	sodium chloride 26.9g/5l
400700BIS	sodium chloride	sodium chloride 1063.5g/5ℓ
373600BIS	sodium chloride	sodium chloride 1990g/10ℓ
450600BIS	sodium chloride	sodium chloride 32.15g/5ℓ
450700BIS	sodium chloride	sodium chloride 32.15g/5ℓ
323100BIS	sodium chloride	sodium chloride 3880g/20ℓ
323600BIS	sodium chloride	sodium chloride 4040g/20ℓ
323900BIS	sodium chloride	sodium chloride 4234g/20ℓ
450900BIS	sodium chloride	sodium chloride 14.0987g
464200BIS	sodium chloride	sodium chloride 16.9185g
324300BIS	sodium chloride	sodium chloride 8.07g/1.5ℓ
324400BIS	sodium chloride	sodium chloride 8.07g/1.5ℓ
324500BIS	sodium chloride	sodium chloride 8.07g/1.5ℓ
350600BIS	sodium chloride	sodium chloride 10.76g/2ℓ
350700BIS	sodium chloride	sodium chloride 10.76g/2ℓ
350900BIS	sodium chloride	sodium chloride 10.76g/2ℓ
351000BIS	sodium chloride	sodium chloride 10.76g/2ℓ
351200BIS	sodium chloride	sodium chloride 10.76g/2ℓ
351300BIS	sodium chloride	sodium chloride 10.76g/2ℓ
352500BIS	sodium chloride	sodium chloride 10.76g/2ℓ
352900BIS	sodium chloride	sodium chloride 10.76g/2ℓ
350800BIS	sodium chloride	sodium chloride 26.9g/5ℓ
351100BIS	sodium chloride	sodium chloride 26.9g/5ℓ
351400BIS	sodium chloride	sodium chloride 26.9g/5ℓ
353100BIS	sodium chloride	sodium chloride 26.9g/5ℓ
464100BIS	sodium chloride	sodium chloride 14.0987g
463800BIS	sodium chloride	sodium chloride 14.0987g
464400BIS	sodium chloride	sodium chloride 16.9185g
464300BIS	sodium chloride	sodium chloride 16.9185g
228704CIS	sodium chloride	sodium chloride 9g
355000CIS	sodium chloride	sodium chloride 1280mg
355100CIS	sodium chloride	sodium chloride 1600mg
355200CIS	sodium chloride	sodium chloride 3.2g
328800BIJ	sodium chloride	sodium chloride 0.9mg
370901BIJ	sodium chromate	sodium chromate 1mCi
450800APD	sodium citrate	sodium citrate 27.46mg
355000CIS	sodium citrate	sodium citrate 340mg
355100CIS	sodium citrate	sodium citrate 425mg
355200CIS	sodium citrate	sodium citrate 850mg
228808COS	sodium cromoglycate	sodium cromoglycate 6mg
335800CLQ	sodium docusate	sodium docusate 10mg
228901ALQ	sodium ferric gluconate complex	sodium ferric gluconate complex 12.7mg
228903ALQ	sodium ferric gluconate complex	sodium ferric gluconate complex 17.75mg
228902ACH	sodium ferric gluconate complex	sodium ferric gluconate complex 177.5mg
303800ALQ	sodium ferric gluconate complex	sodium ferric gluconate complex 22.19mg
229102CCM	sodium fusidate	sodium fusidate 20mg
229102COM	sodium fusidate	sodium fusidate 20mg
229104CDS	sodium fusidate	sodium fusidate 30mg
320000BIJ	sodium glucose	sodium glucose 251g/500ml
349000BIJ	sodium glucose	sodium glucose 502g/1ℓ
229211COS	sodium hyaluronate	sodium hyaluronate 8.5mg
229219COS	sodium hyaluronate	sodium hyaluronate 9.5mg
229203COS	sodium hyaluronate	sodium hyaluronate 11.9mg
229234COS	sodium hyaluronate	sodium hyaluronate 12mg
229206COS	sodium hyaluronate	sodium hyaluronate 4mg
229208COS	sodium hyaluronate	sodium hyaluronate 5mg
229207COS	sodium hyaluronate	sodium hyaluronate 5.5mg
229209COS	sodium hyaluronate	sodium hyaluronate 6mg
229210COS	sodium hyaluronate	sodium hyaluronate 7.7mg
229211COS	sodium hyaluronate	sodium hyaluronate 8.5mg
229202COS	sodium hyaluronate	sodium hyaluronate 10mg
229221COS	sodium hyaluronate	sodium hyaluronate 13.75mg
229224COS	sodium hyaluronate	sodium hyaluronate 18mg
229201BIJ	sodium hyaluronate	sodium hyaluronate 25mg
414700BIJ	sodium hydroxide	sodium hydroxide 1.12g/1ℓ
348900BIJ	sodium hydroxide	sodium hydroxide 1.1g/1ℓ
368614ACH	sodium iodide	sodium iodide 1.85GBq
368610ACH	sodium iodide	sodium iodide 3.7GBq
368612ACH	sodium iodide	sodium iodide 7.4GBq
368626ACH	sodium iodide	sodium iodide 50mCi
368623ACH	sodium iodide	sodium iodide 100mCi
368618ACH	sodium iodide	sodium iodide 115mCi
368620ACH	sodium iodide	sodium iodide 150mCi
319900BIJ	sodium lactate	sodium lactate 1.55g/500ml
400000BIJ	sodium lactate	sodium lactate 1120mg/500ml
321600BIS	sodium lactate	sodium lactate 8.96g/2ℓ
450500BIS	sodium lactate	sodium lactate 16.8g/5ℓ
366600BIS	sodium lactate	sodium lactate 9.44g/2ℓ
359800BIS	sodium lactate	sodium lactate 22.4g/5ℓ
359900BIS	sodium lactate	sodium lactate 22.4g/5ℓ
380900BIS	sodium lactate	sodium lactate 23.6g/5l
450600BIS	sodium lactate	sodium lactate 16.8g/5ℓ
450700BIS	sodium lactate	sodium lactate 16.8g/5ℓ
450900BIS	sodium lactate	sodium lactate 50% solution 19.6125g
464200BIS	sodium lactate	sodium lactate 50% solution 23.535g
324300BIS	sodium lactate	sodium lactate 6.72g/1.5ℓ
324400BIS	sodium lactate	sodium lactate 6.72g/1.5ℓ
324500BIS	sodium lactate	sodium lactate 6.72g/1.5ℓ
350600BIS	sodium lactate	sodium lactate 8.96g/2ℓ
350700BIS	sodium lactate	sodium lactate 8.96g/2ℓ
350900BIS	sodium lactate	sodium lactate 8.96g/2ℓ
351000BIS	sodium lactate	sodium lactate 8.96g/2ℓ
351200BIS	sodium lactate	sodium lactate 8.96g/2ℓ
351300BIS	sodium lactate	sodium lactate 8.96g/2ℓ
352500BIS	sodium lactate	sodium lactate 8.96g/2ℓ
352900BIS	sodium lactate	sodium lactate 8.96g/2ℓ
350800BIS	sodium lactate	sodium lactate 22.4g/5ℓ
351100BIS	sodium lactate	sodium lactate 22.4g/5ℓ
351400BIS	sodium lactate	sodium lactate 22.4g/5ℓ
353100BIS	sodium lactate	sodium lactate 22.4g/5ℓ
464100BIS	sodium lactate	sodium lactate 50% solution 19.6125g
463800BIS	sodium lactate	sodium lactate 50% solution 19.6125g
464400BIS	sodium lactate	sodium lactate 50% solution 23.535g
464300BIS	sodium lactate	sodium lactate 50% solution 23.535g
229301BIJ	sodium nitroprusside	sodium nitroprusside 50mg
370400BIJ	sodium pertechnate	sodium pertechnate 5mCi
370500BIJ	sodium pertechnate	sodium pertechnate 25mCi
383300BIJ	sodium pertechnate	sodium pertechnate 32mCi
383400BIJ	sodium pertechnate	sodium pertechnate 70mCi
370300BIJ	sodium pertechnate	sodium pertechnate 8mCi
383100BIJ	sodium pertechnate	sodium pertechnate 8.5mCi
383000BIJ	sodium pertechnate	sodium pertechnate 40mCi
368401BIJ	sodium pertechnetate	sodium pertechnetate 1mCi
390700BIJ	sodium pertechnetate	sodium pertechnetate 142.5mCi
390600BIJ	sodium pertechnetate	sodium pertechnetate 5.23mCi
390400BIJ	sodium pertechnetate	sodium pertechnetate 14.25mCi
370801BIJ	sodium phosphate dibasic	sodium phosphate dibasic 1mCi
369903BIJ	sodium pyrophosphate	sodium pyrophosphate 11.9mg
369904BIJ	sodium pyrophosphate	sodium pyrophosphate 30mg
229501ATB	sodium salicylate	sodium salicylate 300mg
360502BIJ	sodium thiosulfate	sodium thiosulfate 5g
229705ATB	sodium valproate	sodium valproate 300mg
229706ATB	sodium valproate	sodium valproate 500mg
229705ATB	sodium valproate	sodium valproate 300mg
229706ATB	sodium valproate	sodium valproate 500mg
229708ASY	sodium valproate	sodium valproate 60mg
229705ATB	sodium valproate	sodium valproate 300mg
229704BIJ	sodium valproate	sodium valproate 400mg
229801AGN	sofalcone	sofalcone 100mg
287800AGN	soluble azulene	soluble azulene 2mg
348410BIJ	somatropin	somatropin 4.86I.U
348406BIJ	somatropin	somatropin 18I.U
348407BIJ	somatropin	somatropin 36I.U
230402BIJ	sotalol HCl	sotalol HCl 40mg
230403ATB	sotalol HCl	sotalol HCl 80mg
230401ATB	sotalol HCl	sotalol HCl 160mg
230501BIJ	soybean oil	soybean oil 25g/250ml
230701ATB	sparfloxacin	sparfloxacin 100mg
230801BIJ	spectinomycin HCl	spectinomycin HCl 2g
311000ATB	spiramycin	spiramycin 234.375mg
262700ATB	spironolactone	spironolactone 25mg
231401ATB	stanozolol	stanozolol 2mg
231701APD	streptococcus faecalis bio-4R	streptococcus faecalis bio-4R 100mg
438901ATB	streptodornase·streptokinase 	streptodornase·streptokinase 
232002BIJ	streptokinase	streptokinase 25만I.U
232003BIJ	streptokinase	streptokinase 75만I.U
232001BIJ	streptokinase	streptokinase 150만I.U
232201BIJ	succinylcholine chloride	succinylcholine chloride 200mg
271800ATB	sucralfate	sucralfate 300mg
232301ASS	sucralfate	sucralfate 1000mg
271800ATB	sucralfate	sucralfate 300mg
271800ATB	sucralfate	sucralfate 300mg
232401ASS	sucralfate gel	sucralfate gel 3.33g
232503BIJ	sufentanil citrate	sufentanil citrate 75㎍
232501BIJ	sufentanil citrate	sufentanil citrate 150㎍
232502BIJ	sufentanil citrate	sufentanil citrate 375㎍
328500BIJ	sulbactam sodium	sulbactam sodium 250mg
328600BIJ	sulbactam sodium	sulbactam sodium 500mg
381400BIJ	sulbactam sodium	sulbactam sodium 125mg
371300BIJ	sulbactam sodium	sulbactam sodium 250mg
329900BIJ	sulbactam sodium	sulbactam sodium 500mg
312000ATB	sulfadiazine	sulfadiazine 250mg
311300ATB	sulfadiazine	sulfadiazine 400mg
312100ATB	sulfadoxine	sulfadoxine 500mg
311400ASY	sulfamethoxazole	sulfamethoxazole 40mg
311500ACH	sulfamethoxazole	sulfamethoxazole 400mg
311500ATB	sulfamethoxazole	sulfamethoxazole 400mg
361000BIJ	sulfamethoxazole	sulfamethoxazole 800mg
365000ACH	sulfamethoxypyridazine	sulfamethoxypyridazine 120mg
311700ACH	sulfamethoxypyridazine	sulfamethoxypyridazine 240mg
376301ASY	sulfamonomethoxine	sulfamonomethoxine 50mg
376302ATB	sulfamonomethoxine	sulfamonomethoxine 250mg
376303ATB	sulfamonomethoxine	sulfamonomethoxine 500mg
376304BIJ	sulfamonomethoxine	sulfamonomethoxine 100mg
376302BIJ	sulfamonomethoxine	sulfamonomethoxine 250mg
233201ATB	sulindac	sulindac 100mg
233401ATB	sulpiride	sulpiride 200mg
233701ATB	sultamicillin tosylate	sultamicillin tosylate 375mg
487701ACH	sunitinib malate	sunitinib malate 12.5mg
487702ACH	sunitinib malate	sunitinib malate 25mg
487703ACH	sunitinib malate	sunitinib malate 50mg
233901COS	suprofen	suprofen 10mg
234002BIJ	suxamethonim chloride	suxamethonim chloride 200mg
234003BIJ	suxamethonim chloride	suxamethonim chloride 500mg
234001BIJ	suxamethonim chloride	suxamethonim chloride 1000mg
234401ATB	talniflumate	talniflumate 370mg
234601ACR	tamsulosin HCl	tamsulosin HCl 0.2mg
234601ACR	tamsulosin HCl	tamsulosin HCl 0.2mg
234602ACR	tamsulosin HCl	tamsulosin HCl 0.1mg
